Discount_Band,Orders,Units_Sold,Revenue,Profit,Profit_Margin_Percent,Average_Discount,Average_Order_Value,Revenue_Contribution_Percent,Profit_Contribution_Percent
0% Discount,4950,11740,100879550.82,31734512.87,31.46,0.0,20379.71,7.41,9.51
1-5% Discount,14017,33208,272036121.45,79814081.41,29.34,2.87,19407.59,19.98,23.93
6-10% Discount,23464,55530,433984550.45,111902938.78,25.79,7.57,18495.76,31.87,33.55
11-15% Discount,20660,48888,363628341.91,79345775.97,21.82,12.31,17600.6,26.71,23.79
16-20% Discount,9372,22080,153924278.75,26571675.53,17.26,17.04,16423.85,11.3,7.97
20%+ Discount,2457,5731,37172193.36,4215769.96,11.34,22.34,15129.1,2.73,1.26
